filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
output/0x01a1f17808edae0b004a4f11a03620d3d804b997.sol,0x01a1f17808edae0b004a4f11a03620d3d804b997.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680153726.2640102,613.538821220398,,{},{},{},{DOCKER_TIMEOUT}
output/0x01a28adc0edd796b570ec4da734e1aa809f6f1fc.sol,0x01a28adc0edd796b570ec4da734e1aa809f6f1fc.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680158667.4335828,666.1331701278687,,{},{},{},{DOCKER_TIMEOUT}
output/0x01a47f1d07f1fd01b6499a4eef7abdc5e9cd3372.sol,0x01a47f1d07f1fd01b6499a4eef7abdc5e9cd3372.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680163881.3687644,614.660573720932,,{},{},{},{DOCKER_TIMEOUT}
output/0x01a922de9af2c1158dd947ea5b794f0dd995c7df.sol,0x01a922de9af2c1158dd947ea5b794f0dd995c7df.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680152156.0018957,502.3624110221863,0,{},{},{},{}
output/0x01a9a2b8638451d447f0027179b19e8843963a88.sol,0x01a9a2b8638451d447f0027179b19e8843963a88.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680160793.5160913,613.0107524394989,,{},{},{},{DOCKER_TIMEOUT}
output/0x01aa8709b876a5896a6f299878e1c35b184084c1.sol,0x01aa8709b876a5896a6f299878e1c35b184084c1.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680153103.5699878,612.1991682052612,,{},{},{},{DOCKER_TIMEOUT}
output/0x01aaf00b615d97360e80ef1242a3935c8b7d529a.sol,0x01aaf00b615d97360e80ef1242a3935c8b7d529a.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680163867.7603493,13.27971887588501,0,{},{},{Solc experienced a fatal error},{}
output/0x01ad3c7da8364d3f73d8ba6deb88c2add26a7837.sol,0x01ad3c7da8364d3f73d8ba6deb88c2add26a7837.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680163219.8878477,663.6185913085938,,{},{analysis incomplete},{},"{DOCKER_TIMEOUT,exception (z3.z3types.Z3Exception: b'Argument (concat (ite (bvsle |9_calldatasize|\n                    #x0000000000000000000000000000000000000000000000000000000000000004)\n             #x00\n             (select |9_calldata|\n                     #x0000000000000000000000000000000000000000000000000000000000000004))\n        (ite (bvsle |9_calldatasize|\n                    #x0000000000000000000000000000000000000000000000000000000000000005)\n             #x00\n             (select |9_calldata|\n                     #x0000000000000000000000000000000000000000000000000000000000000005))\n        (ite (bvsle |9_calldatasize|\n                    #x0000000000000000000000000000000000000000000000000000000000000006)\n             #x00\n             (select |9_calldata|\n                     #x0000000000000000000000000000000000000000000000000000000000000006))\n        (ite (bvsle |9_calldatasize|\n                    #x0000000000000000000000000000000000000000000000000000000000000007)\n             #x00\n             (select |9_calldata|\n                     #x0000000000000000000000000000000000000000000000000000000000000007))\n        (ite (bvsle |9_calldatasize|\n                    #x0000000000000000000000000000000000000000000000000000000000000008)\n             #x00\n             (select |9_calldata|\n                     #x0000000000000000000000000000000000000000000000000000000000000008))\n        (ite (bvsle |9_calldatasize|\n                    #x0000000000000000000000000000000000000000000000000000000000000009)\n             #x00\n             (select |9_calldata|\n                     #x0000000000000000000000000000000000000000000000000000000000000009))\n        (ite (bvsle |9_calldatasize|\n                    #x000000000000000000000000000000000000000000000000000000000000000a)\n             #x00\n             (select |9_calldata|\n                     #x000000000000000000000000000000000000000000000000000000000000000a))\n        (ite (bvsle |9_calldatasize|\n                    #x000000000000000000000000000000000000000000000000000000000000000b)\n             #x00\n             (select |9_calldata|\n                     #x000000000000000000000000000000000000000000000000000000000000000b))\n        (ite (bvsle |9_calldatasize|\n                    #x000000000000000000000000000000000000000000000000000000000000000c)\n             #x00\n             (select |9_calldata|\n                     #x000000000000000000000000000000000000000000000000000000000000000c))\n        (ite (bvsle |9_calldatasize|\n                    #x000000000000000000000000000000000000000000000000000000000000000d)\n             #x00\n             (select |9_calldata|\n                     #x000000000000000000000000000000000000000000000000000000000000000d))\n        (ite (bvsle |9_calldatasize|\n                    #x000000000000000000000000000000000000000000000000000000000000000e)\n             #x00\n             (select |9_calldata|\n                     #x000000000000000000000000000000000000000000000000000000000000000e))\n        (ite (bvsle |9_calldatasize|\n                    #x000000000000000000000000000000000000000000000000000000000000000f)\n             #x00\n             (select |9_calldata|\n                     #x000000000000000000000000000000000000000000000000000000000000000f))\n        (ite (bvsle |9_calldatasize|\n                    #x0000000000000000000000000000000000000000000000000000000000000010)\n             #x00\n             (select |9_calldata|\n                     #x0000000000000000000000000000000000000000000000000000000000000010))\n        (ite (bvsle |9_calldatasize|\n                    #x0000000000000000000000000000000000000000000000000000000000000011)\n             #x00\n             (select |9_calldata|\n                     #x0000000000000000000000000000000000000000000000000000000000000011))\n        (ite (bvsle |9_calldatasize|\n                    #x0000000000000000000000000000000000000000000000000000000000000012)\n             #x00\n             (select |9_calldata|\n                     #x0000000000000000000000000000000000000000000000000000000000000012))\n        (ite (bvsle |9_calldatasize|\n                    #x0000000000000000000000000000000000000000000000000000000000000013)\n             #x00\n             (select |9_calldata|\n                     #x0000000000000000000000000000000000000000000000000000000000000013))\n        (ite (bvsle |9_calldatasize|\n                    #x0000000000000000000000000000000000000000000000000000000000000014)\n             #x00\n             (select |9_calldata|\n                     #x0000000000000000000000000000000000000000000000000000000000000014))\n        (ite (bvsle |9_calldatasize|\n                    #x0000000000000000000000000000000000000000000000000000000000000015)\n             #x00\n             (select |9_calldata|\n                     #x0000000000000000000000000000000000000000000000000000000000000015))\n        (ite (bvsle |9_calldatasize|\n                    #x0000000000000000000000000000000000000000000000000000000000000016)\n             #x00\n             (select |9_calldata|\n                     #x0000000000000000000000000000000000000000000000000000000000000016))) at position 1 has sort (_ BitVec 152) it does does not match declaration (declare-fun bvand ((_ BitVec 256) (_ BitVec 256)) (_ BitVec 256))')}"
output/0x01e15429fedbc08dec25e127df09b4af17167f5e.sol,0x01e15429fedbc08dec25e127df09b4af17167f5e.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680149824.3537705,544.973797082901,1,"{Dependence_on_predictable_environment_variable_SWC_116,External_Call_To_User_Supplied_Address_SWC_107,Multiple_Calls_in_a_Single_Transaction_SWC_113,State_access_after_external_call_SWC_107}",{},{},{}
output/0x01ec2fb34a6640acfb59861bbdf6aa65af18bd43.sol,0x01ec2fb34a6640acfb59861bbdf6aa65af18bd43.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680163780.4027133,646.1125640869141,1,{External_Call_To_User_Supplied_Address_SWC_107},{},{},{}
